;Year;IsWinner;track_id
374;2018;Nominee;09IStsImFySgyp0pIQdqAc
375;2018;Winner;0b9oOr2ZgvyQu88wzixux9
376;2018;Nominee;58q2HKrzhC3ozto2nDdN4z
377;2018;Nominee;18k8IlS52uxRWObykDUZFG
378;2018;Nominee;6DCZcSspjsKoFjzjrWoCdn
379;2018;Nominee;0e7ipj03S05BNilyu5bRzt
380;2018;Nominee;0At2qAoaVjIwWNAqrscXli
381;2018;Nominee;3GCdLUSnKSMJhs4Tj6CV3s
382;2018;Nominee;2QZ7WLBE8h2y1Y5Fb8RYbH
383;2018;Nominee;09IStsImFySgyp0pIQdqAc
384;2018;Nominee;2VxeLyX666F8uXCJ0dZF8B
385;2019;Nominee;6ocbgoVGwYJhOv1GgI9NsF
386;2019;Nominee;2YpeDb67231RjR0MgVLzsG
387;2019;Winner;2Fxmhks0bxGSBdJ92vM42m
388;2019;Nominee;4IablJ6SqVNGY4vrseyKxu
389;2019;Nominee;6TqXcAFInzjp0bODyvrWEq
390;2019;Nominee;3HWzoMvoF3TQfYg4UPszDq
391;2019;Nominee;7nx130yomv3fvvFD0fcGOG
392;2019;Nominee;3RIgHHpnFKj5Rni1shokDj
393;2019;Nominee;7qEHsqek33rTcFNT9PFqLf
394;2020;Nominee;3Dv1eDb0MEgF93GpLXlucZ
395;2020;Nominee;7ytR5pFWmSjzHJIeQkgog4
396;2020;Nominee;55CHeLEfn5iJ0IIkgaa4si
397;2020;Nominee;3PfIrDoz19wz7qK7tYeu62
398;2020;Nominee;6d4FWjx72iuRWzn1HwywLK
399;2020;Winner;4CPszpSnlbgnQLIQYyzIR2
400;2020;Nominee;0nbXyq5TXYPCO7pr3N8S4I
401;2020;Nominee;77MdvMx9L4ZQuLhhn3o21h
402;2020;Nominee;3ZCTVFBt2Brf31RLEnCkWJ
403;2021;Winner;02VBYrHfVwfEWXk5DXyf0T
404;2021;Nominee;5wANPM4fQCJwkGd4rN57mH
405;2021;Nominee;2QOB5UiRKggr2j9uMD3GYK
406;2021;Nominee;3ddxe0WYUpNPtSnHgQOad5
407;2021;Nominee;748mdHapucXQri7IAO8yFK
408;2021;Nominee;4iJyoBOLtHqaGxP12qzhQI
409;2021;Nominee;4Z8DyhYIN47p8LgrPVOYeL
410;2022;Winner;1PckUlxKqWQs3RlWXVBLw3
411;2022;Nominee;4LRPiXqCikLlN15c3yImP7
412;2022;Nominee;5CM4UuQ9Gnd6K2YyKGPMoK
413;2022;Winner;4yYi79a3MEQ0pCRCvuxcuU
414;2022;Nominee;2sOj9vyd6yiss9W1IK6chU
415;2022;Nominee;4fouWK6XVHhzl78KzQ1UjL
